text,primary_emotion,intensity,emoji_1,emoji_2,emoji_3,source,created_at,confidence,augmentation_type
Chúc mừng bạn đậu tuyển dụng!,joy,5,😊,🎉,🥳,manual,2026-01-09T05:27:58.571845,1.0,original
Chúc hân hoan bạn đậu tuyển dụng!,joy,5,😊,🎉,🥳,augmented,2026-01-09T05:27:58.571845,0.95,synonym
Chúc vui mừng bạn đậu tuyển dụng!,joy,5,😊,🎉,🥳,augmented,2026-01-09T05:27:58.571845,0.95,synonym
Chúc hân hoan bạn đậu tuyển dụng!,joy,5,😊,🎉,🥳,augmented,2026-01-09T05:27:58.571845,0.95,synonym
Chúc hân hoan bạn đậu tuyển dụng!,joy,5,😊,🎉,🥳,augmented,2026-01-09T05:27:58.571845,0.95,synonym
Chúc hân hoan bạn đậu tuyển dụng!,joy,5,😊,🎉,🥳,augmented,2026-01-09T05:27:58.571845,0.95,synonym
Chúc vui mừng bạn đậu tuyển dụng!,joy,5,😊,🎉,🥳,augmented,2026-01-09T05:27:58.571845,0.95,synonym
Chúc vui mừng bạn đậu tuyển dụng!,joy,5,😊,🎉,🥳,augmented,2026-01-09T05:27:58.571845,0.95,synonym
Chúc hân hoan bạn đậu tuyển dụng!,joy,5,😊,🎉,🥳,augmented,2026-01-09T05:27:58.571845,0.95,synonym
Chúc phấn khởi bạn đậu tuyển dụng!,joy,5,😊,🎉,🥳,augmented,2026-01-09T05:27:58.571845,0.95,synonym
Chúc hân hoan bạn đậu tuyển dụng!,joy,5,😊,🎉,🥳,augmented,2026-01-09T05:27:58.571845,0.95,synonym
Hôm nay là ngày tuyệt vời!,joy,4,😄,✨,🌟,manual,2026-01-09T05:27:58.571860,1.0,original
Hôm rất nay là ngày tuyệt vời!,joy,5,😄,✨,🌟,augmented,2026-01-09T05:27:58.571860,0.9,intensity
Cảm ơn bạn nhiều lắm!,joy,4,😊,🙏,❤️,manual,2026-01-09T05:27:58.571864,1.0,original
Cảm rất ơn bạn nhiều lắm!,joy,5,😊,🙏,❤️,augmented,2026-01-09T05:27:58.571864,0.9,intensity
Mình vui quá!,joy,5,😁,🎊,💫,manual,2026-01-09T05:27:58.571866,1.0,original
Mình hào hứng quá!,joy,5,😁,🎊,💫,augmented,2026-01-09T05:27:58.571866,0.95,synonym
Mình hào hứng quá!,joy,5,😁,🎊,💫,augmented,2026-01-09T05:27:58.571866,0.95,synonym
Mình hào hứng quá!,joy,5,😁,🎊,💫,augmented,2026-01-09T05:27:58.571866,0.95,synonym
Mình hào hứng quá!,joy,5,😁,🎊,💫,augmented,2026-01-09T05:27:58.571866,0.95,synonym
Mình hạnh phúc quá!,joy,5,😁,🎊,💫,augmented,2026-01-09T05:27:58.571866,0.95,synonym
Mình hào hứng quá!,joy,5,😁,🎊,💫,augmented,2026-01-09T05:27:58.571866,0.95,synonym
Mình phấn khởi quá!,joy,5,😁,🎊,💫,augmented,2026-01-09T05:27:58.571866,0.95,synonym
Mình hào hứng quá!,joy,5,😁,🎊,💫,augmented,2026-01-09T05:27:58.571866,0.95,synonym
Mình phấn khởi quá!,joy,5,😁,🎊,💫,augmented,2026-01-09T05:27:58.571866,0.95,synonym
Mình hào hứng quá!,joy,5,😁,🎊,💫,augmented,2026-01-09T05:27:58.571866,0.95,synonym
Thật tuyệt vời!,joy,4,🤩,👏,✨,manual,2026-01-09T05:27:58.571868,1.0,original
Thật rất tuyệt vời!,joy,5,🤩,👏,✨,augmented,2026-01-09T05:27:58.571868,0.9,intensity
Cuối cùng cũng xong!,joy,4,😌,🎉,💪,manual,2026-01-09T05:27:58.571870,1.0,original
Cuối rất cùng cũng xong!,joy,5,😌,🎉,💪,augmented,2026-01-09T05:27:58.571870,0.9,intensity
Được nghỉ phép rồi!,joy,4,😊,🏖️,🎊,manual,2026-01-09T05:27:58.571872,1.0,original
Được rất nghỉ phép rồi!,joy,5,😊,🏖️,🎊,augmented,2026-01-09T05:27:58.571872,0.9,intensity
Lương tháng này tăng!,joy,5,🤑,💰,🎉,manual,2026-01-09T05:27:58.571874,1.0,original
Con đỗ đại học rồi mẹ ơi!,joy,5,😭,🎓,🎉,manual,2026-01-09T05:27:58.571876,1.0,original
Ăn mừng thôi!,joy,4,🎉,🍻,🥳,manual,2026-01-09T05:27:58.571879,1.0,original
Ăn hân hoan thôi!,joy,4,🎉,🍻,🥳,augmented,2026-01-09T05:27:58.571879,0.95,synonym
Ăn vui mừng thôi!,joy,4,🎉,🍻,🥳,augmented,2026-01-09T05:27:58.571879,0.95,synonym
Ăn vui mừng thôi!,joy,4,🎉,🍻,🥳,augmented,2026-01-09T05:27:58.571879,0.95,synonym
Ăn vui mừng thôi!,joy,4,🎉,🍻,🥳,augmented,2026-01-09T05:27:58.571879,0.95,synonym
Ăn vui mừng thôi!,joy,4,🎉,🍻,🥳,augmented,2026-01-09T05:27:58.571879,0.95,synonym
Ăn phấn khởi thôi!,joy,4,🎉,🍻,🥳,augmented,2026-01-09T05:27:58.571879,0.95,synonym
Ăn vui mừng thôi!,joy,4,🎉,🍻,🥳,augmented,2026-01-09T05:27:58.571879,0.95,synonym
Ăn hân hoan thôi!,joy,4,🎉,🍻,🥳,augmented,2026-01-09T05:27:58.571879,0.95,synonym
